label,disease,symptoms,actions,prevention,when_to_escalate
bacterial_leaf_blight,Bacterial Leaf Blight (Xanthomonas oryzae),"Lesions start at leaf tip, enlarging down margins, turning yellow-white with wavy edges. 'Kresek' (wilting) in seedlings.",Apply Streptomycin Sulphate + Tetracycline (300 g/ha) mixed with Copper Oxychloride (1.25 kg/ha).; Spray at first appearance of streaks and repeat after 15 days.; Use Cow Dung Extract spray (20g/L) to introduce competing microflora (Indigenous method).; Avoid potentially excess Nitrogen fertilization.,"Use resistant varieties like IR64, Improved Samba Mahsuri, CR Dhan 310, Pusa Basmati 1509; balanced fertilizer use with controlled nitrogen (avoid more than 120 kg/ha); proper spacing of 20x15 cm or 20x20 cm; avoid stagnant water by proper leveling; use disease-free certified seeds; avoid mechanical injury to plants during weeding; ensure good field leveling before planting; treat seeds with streptomycin or plantomycin; avoid late evening irrigation; remove crop residue after harvest; crop rotation with non-host crops",If disease spreads rapidly across large field area covering more than 30% of plants within 7-10 days; if kresek symptoms appear where entire plants wilt suddenly; if multiple fields in area are affected; if young plants show severe wilting; contact agricultural extension officer immediately
bacterial_leaf_streak,Bacterial Leaf Streak,"Fine, translucent, water-soaked streaks between leaf veins, eventually turning brown.",Chemical control identical to BLB: Streptomycin + Copper combination.; Clip seedling tips before transplanting to remove bacterial entry points.; Avoid leaf damage during handling.; Keep fields clean of weed hosts.,"Use clean certified seeds from reliable sources; proper spacing of 20x15 cm to ensure air circulation; balanced fertilizer use avoiding excess nitrogen (limit to 100 kg/ha); treat seeds with hot water at 52-54°C for 10-15 minutes; crop rotation with legumes or vegetables; avoid working in wet fields or during rain; use resistant varieties like Lalat, Improved Samba Mahsuri; remove alternate weed hosts especially grasses; ensure tools are cleaned between fields; avoid late planting which coincides with monsoon; maintain proper water depth of 5cm",If streaks increase rapidly covering more than 25% of field within 2 weeks; if symptoms appear at flowering stage affecting panicle development; if bacterial ooze is prominently visible; if weather forecast shows extended humid rainy period; if neighboring fields show severe infection
bacterial_panicle_blight,Bacterial Panicle Blight (Burkholderia glumae),Panicles emerge upright (sterile) with green rachis but gray/brown florets. Often misdiagnosed as heat stress.,Seed Treatment: Bleaching Powder (100g/L) and Zinc Sulfate (2%).; Apply Copper Hydroxide (1.25 kg/ha) at booting stage.; Use pathogen-free certified seeds.; Destroy infected crop residues.,"Use resistant varieties like Improved Samba Mahsuri, MTU 1010; balanced fertilizer avoiding excess nitrogen at reproductive stage (limit nitrogen top dressing); proper water management with intermittent drying (alternate wetting and drying); ensure good air circulation with 20x20 cm spacing; use clean certified disease-free seeds; avoid late nitrogen application after panicle initiation; maintain proper plant spacing to reduce humidity; remove collateral hosts and weeds; seed treatment with streptocycline solution; avoid planting too close to previously infected fields; harvest and remove all crop residue",If yield loss becomes noticeable or many panicles are affected (more than 20% panicles showing symptoms); if disease appears early in panicle development or boot leaf stage; if bacterial ooze is prominently visible on multiple panicles; if weather remains humid during flowering period; if entire panicles are turning brown; contact extension services for guidance
blast,Rice Blast (Magnaporthe oryzae),Spindle-shaped lesions with white/gray centers and reddish-brown borders. Can cause Neck Blast (100% loss).,Apply Tricyclazole 75 WP (500 g/ha) - the gold standard systemic fungicide.; Use Azoxystrobin 25 SC (500 ml/ha) or Mancozeb 75 WP (1.5–2.0 kg/ha).; Apply at booting/heading stages mainly for neck blast prevention.; Maintain proper water depth.,"Use resistant varieties like Pusa Basmati 1121, PR-106, Improved Pusa Basmati 1, Pusa 1612; avoid excess nitrogen especially split application during wet season; proper spacing of 20x15 cm or 20x20 cm; split nitrogen application in 3 doses (50% basal, 25% tillering, 25% panicle initiation); avoid water stress by maintaining consistent water levels; use silicon-based fertilizers like calcium silicate at 300 kg/ha; seed treatment with approved fungicides like tricyclazole or carbendazim; avoid late evening irrigation which keeps leaves wet overnight; increase potassium fertilizer; remove collateral hosts; avoid continuous flooding; apply potassium at flowering",If neck blast appears causing panicle death and white heads; if disease spreads quickly covering more than 15% of field within one week; if appearing during flowering to grain filling stage; if lesions appear on panicle neck or nodes; if cool (20-25°C) nights with morning dew persist; if young transplanted seedlings show severe leaf blast; immediate expert consultation needed
brown_spot,Brown Spot (Bipolaris oryzae),"Round/oval brown spots with gray center and yellow halo. Indicator of poor soil fertility (Si, Mn, K).",Correction of nutrition is Primary Therapy: Manganese Sulfate foliar spray (1–5 kg Mn/ha).; Apply Mancozeb spray (2.0 g/L) or Propiconazole (500 ml/ha).; Use certified disease-free seeds.; Improve soil fertility with Potassium and Silicon.,Use healthy certified seeds from disease-free areas; balanced fertilization with adequate potassium (60-80 kg K2O/ha) and avoid excess nitrogen; proper field drainage to avoid waterlogging; seed treatment with approved fungicides like carbendazim (2g/kg) or bioagents like Trichoderma; avoid potassium deficiency by soil testing; maintain proper water depth of 5-7 cm; avoid planting in nutritionally poor or zinc-deficient soils; apply farmyard manure before planting; use resistant varieties where available; remove and destroy infected stubble; apply zinc sulfate if deficient; crop rotation with green manure crops,If disease affects large portion of crop (more than 40% leaves with spots); if yield drops significantly with poor grain filling; if appearing in early tillering stage on young plants; if grain filling is severely affected with more than 30% discolored grains; if plants are severely stunted; if nursery shows severe seedling infection; contact agricultural extension for soil testing and nutrient management
dead_heart,Stem Borer (Dead Heart/White Ear),Vegetative stage: Central shoot dies ('Dead Heart'). Reproductive stage: Empty white panicle ('White Ear').,Apply Cartap Hydrochloride 50 SP (400 g/acre foliar) or Granules 4G (7.5–10 kg/acre).; Use Flubendiamide 39.35 SC (50 ml/ha).; Install light traps to monitor moth activity.; Clip seedling tips before transplanting.,Timely planting avoiding very late planting after mid-monsoon; balanced fertilizer avoiding excess nitrogen in early vegetative stage (split nitrogen); regular field monitoring especially 2-3 weeks after transplanting for egg masses and young damage; use resistant or tolerant varieties; drain field temporarily (1-2 days) at tillering stage to expose larvae to sunlight; avoid staggered planting over long period; raise seedlings with clipped leaf tips to reduce egg laying surface; use bioagents like Trichogramma at weekly intervals; destroy stubble after harvest by burning or incorporating; avoid planting near previous year's infested fields; use light traps in community approach; maintain proper spacing 20x15cm,If many plants show dead heart symptoms (more than 5% at vegetative stage or more than 2% at reproductive stage) - economic threshold; if white head symptoms appear at flowering reducing grain yield; if infestation increases rapidly and crosses economic threshold; if stem borer damage observed in neighboring fields; if adult moth catch in pheromone traps exceeds 4-5 moths per trap per week; urgent action needed if reproductive stage borers cause white heads
downy_mildew,Downy Mildew (Oomycete),Leaves turn yellow and twisted; panicles distorted. Associated with waterlogged areas.,Seed Treatment: Metalaxyl 35 WS (0.75–1.0 g per 100 kg seed).; Foliar: Spray Mancozeb (2.0–2.5 g/L) or Chlorothalonil + Metalaxyl (Folio Gold) at 1.5–2.0 ml/L.; Improve drainage to reduce waterlogging.; Remove and burn infected plant parts.,Use resistant varieties or healthier seed sources; proper spacing of at least 20x15 cm or wider 20x20 cm; avoid waterlogging by ensuring good field drainage; ensure good field drainage with proper leveling and channels; avoid dense planting and overcrowding; use certified disease-free seeds from reliable sources; ensure adequate sunlight reaches all plants - avoid shaded areas; improve soil drainage with organic matter incorporation; avoid planting in poorly drained heavy clay soils; ensure proper field leveling; remove alternate weed hosts especially grasses; avoid very early planting in cool season; maintain moderate nitrogen levels; improve air circulation with proper spacing,If disease spreads rapidly under cool (15-20°C) and humid conditions with morning dew; if affecting more than 20% of young plants or seedlings; if appearing at early tillering stage threatening whole crop; if weather remains cool and humid for extended period with cloud cover; if white downy growth is prominently visible on many plants; if entire nursery is affected; urgent intervention needed to save crop
hispa,Rice Hispa,Adults scrape leaf surfaces leaving white streaks; larvae mine leaves creating blister patches.,Apply Quinalphos 25 EC (1000 ml/ha).; Use Chlorpyriphos 20 EC (1250 ml/ha) if infestation is high.; Clip leaf tips of seedlings before transplanting.; Mechanical removal with insect nets.,Early planting in season to avoid peak pest population period; regular monitoring at least twice weekly especially on upper leaf surface for beetles; field sanitation by removing weeds and alternate hosts; avoid over-fertilization with nitrogen which attracts pests; use bioagents like parasitoids or predators if available; plant trap crops like sorghum on field borders; avoid planting immediately near previously heavily infested fields; ensure proper water management avoiding very deep water; use tolerant varieties if available; destroy crop residue after harvest; summer plowing to expose pupae; maintain field bunds weed-free; apply neem cake to soil,If beetle population increases rapidly and damage is visible on more than 10-15% of leaves; if more than 10-15 beetles per square meter visible; if infestation occurs during early tillering stage affecting plant growth; if damage is severe with most leaves showing white streaks; if population crosses economic threshold level (5-10 beetles per square meter at vegetative stage); if young crop severely affected; timely action needed
normal,Healthy Rice,"Plant is green, vigorous, and free of lesions or discoloration.",Implement Integrated Nutrient Management (INM).; Monitor regularly for early signs of fungal or bacterial issues.; Keep water levels optimized for the growth stage.; Maintain bunds weed-free to reduce pest hosts.,Maintain balanced fertilizer use with adequate NPK ratios (120:60:40 kg/ha as baseline); proper water management maintaining 5-10 cm water depth; regular monitoring at least weekly for any pest disease or nutrient symptoms; ensure good field sanitation by removing weeds and debris; use certified quality seeds from reliable sources; proper spacing of 20x15 cm or 20x20 cm based on variety; timely operations including weeding fertilization and irrigation; integrated pest and disease management with monitoring; maintain field bunds and repair if needed; control weeds regularly especially in early stages; ensure adequate sunshine and air circulation; follow recommended variety-specific practices; crop rotation with legumes or vegetables; apply farmyard manure before planting; maintain proper soil pH 6.0-7.0,"If any unusual symptoms appear anywhere in field even on few plants; if neighboring fields show disease or pest outbreak; if weather conditions become highly favorable for disease (prolonged rain, high humidity, cool nights); if any pest activity observed including eggs or young insects; if water management is disrupted (drainage issues, contamination); if plants show any stress symptoms; early detection critical - immediate monitoring and expert consultation if needed"
tungro,Rice Tungro Disease (RTD),Stunted plants with yellow to orange-red leaf discoloration starting from tips. Transmitted by Green Leafhopper.,Control Green Leafhopper vector: Imidacloprid (40–50 ml/acre) or Thiamethoxam (40 g/acre).; Nutritional Support: Spray 2% Urea + Mancozeb to reduce yellowing symptoms.; Practice synchronous planting.; Use resistant varieties.,"Use resistant varieties like TKM6, Phalguna, Vikramarya, Improved Samba Mahsuri; control green leafhoppers rigorously using recommended insecticides or neem-based products at 7-10 day intervals; synchronized community-wide planting to break disease cycle (all fields within 2-3 weeks); avoid planting near previously infected fields or late-planted fields; use virus-free certified seeds from disease-free areas; early planting at beginning of season when vector population is low; apply systemic insecticides like imidacloprid as seedling root dip; monitor leafhopper population regularly using sweep nets (threshold: 5-10 per sweep); destroy stubble and ratoon crops which harbor virus; avoid ratooning in endemic areas; grow resistant varieties only in endemic areas; create physical barrier nurseries",If even few plants (more than 2-3%) show typical stunting and yellow-orange discoloration symptoms; if green leafhopper population is very high (more than 10 per sweep or more than 2-3 per plant); if disease appears in early tillering stage threatening yield; if neighboring fields have severe tungro outbreak; if disease endemic area and symptoms appear; immediate urgent action needed - report to agricultural department as this is a serious viral disease; community-level action required
